"finn_id","title","price","size_sqm","rooms","address","neighborhood","property_type","year_built","broker","url","scraped_at","lat","lon","category","category_confidence","category_reasoning","classified_at","standard","standard_confidence","standard_reasoning"
"460316787","NORDSTRAND - Birgitte Hammers Pensjonat - 3-roms endeleilighet med panorama fjordutsikt | Særdeles attraktiv beliggenhet | 2 balkonger | Garasje og P-plass | Heis",10148590,103,3,"Birgitte Hammers vei 1A, Oslo",NA,"Leilighet",1895,"DNB Eiendom","https://www.finn.no/realestate/homes/ad.html?finnkode=460316787","2026-04-20T15:17:17",NA,NA,"Waterfront / premium location","high","Located in Nordstrand with panoramic fjord views, 2 balconies, and premium waterfront features. Price ~10.1M NOK and distinctive fjord setting elevate it above standard suburban classification.","2026-04-20T15:40:42","Good standard","medium","1895 building with high price/m² (98,530) and described as 'særdeles attraktiv' with panorama views and modern amenities (heis, garasje). No renovation mentioned but maintained status suggested by premium pricing and features."
"460249370","Torshov - Gjennomgående og lekker 3-roms med balkong. Peis. V.vann og internett inkl. Attraktiv beliggenhet",7173235,83,3,"Sandakerveien 46B, Oslo","Sandaker","Leilighet",1950,NA,"https://www.finn.no/realestate/homes/ad.html?finnkode=460249370","2026-04-20T15:17:17",NA,NA,"Central urban","high","Torshov/Sandaker is a central Oslo neighborhood, 3 rooms, mid-range price (~7.2M), attractive location with fireplace and modern amenities typical of central urban apartments.","2026-04-20T15:40:42","Average / dated","medium","1950 building described as 'lekker' with fireplace but no explicit renovation mention. Moderate price/m² (86,425) and functional amenities suggest well-maintained but dated finishes typical of mid-century Oslo housing."
"460309463","Lindeberg - Lys og pen 2-roms i 5 etasje med solrik, vestvendt balkong på ca.10kvm | Nydelig utsikt | Heis | Perfekt førstegangskjøp",3908509,49,2,"Lindebergåsen 36B, Oslo",NA,"Leilighet",1976,"EIE Eiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=460309463","2026-04-20T15:17:17",NA,NA,"Starter / budget","high","Small 2-room apartment at 3.9M NOK with good light and view. Explicitly marketed as 'perfect first-time buyer' (førstegangskjøp), fitting the starter category price and size profile.","2026-04-20T15:40:42","Good standard","medium","1976 building described as 'lys og pen' with modern amenities (heis) and attractive features. Price/m² (79,765) and positive descriptors suggest functional, well-maintained condition without major dated concerns."
"460645849","NYEGAARDKVARTALET - Stilren 2-roms fra 2021 m/N.vestvendt balkong på 8 m² -V.v./fibernett inkl.-Heis -Felles takterrasse -Vendt mot gårdstun",5638880,49,2,"Nycoveien 14, Oslo",NA,"Leilighet",2021,"Nordvik","https://www.finn.no/realestate/homes/ad.html?finnkode=460645849","2026-04-20T15:17:17",NA,NA,"New development","high","Built in 2021 with modern finishes, included utilities, and contemporary amenities. 'Stilren' and 2021 date clearly indicate new development property.","2026-04-20T15:40:42","High standard","high","Built 2021 with 'stilren' design, modern amenities (fibernett, heis, felles takterrasse), and price/m² of 115,079 clearly indicate a newly constructed property with high-quality finishes and current standards."
"452701821","Rosenhoff - Fin 2-roms i 8. etasje | Solrik balkong på 9m² med fjordutsikt | Heis | V.vann og fibernett inkl. | Moderniseringsbehov",4690899,48,2,"Dynekilgata 15, Oslo",NA,"Leilighet",1967,"Nordvik","https://www.finn.no/realestate/homes/ad.html?finnkode=452701821","2026-04-20T15:17:17",NA,NA,"Student / young professional","medium","2-room apartment at 4.7M NOK in central location with fjord view. Suitable for young professionals, though mentions 'modernization needs' slightly detract from new/premium positioning.","2026-04-20T15:40:42","Average / dated","high","1967 building explicitly noted with 'Moderniseringsbehov' (modernization needed) in title. Despite attractive features and premium price/m², the explicit modernization requirement indicates dated finishes requiring updates."
"460646373","Rålekker 4- roms med high end standard | 3 soverom | 2 bad | 2 soverom mot stille bakgård | Balkong kommer*",13992340,113,3,"Hegdehaugsveien 30 A, Oslo",NA,"Leilighet",1892,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460646373","2026-04-20T15:17:17",NA,NA,"Luxury","high","Price 13.99M NOK, high-end standard with 3 bedrooms, 2 bathrooms, prestigious address (Rålekker/Hegdehaugsveien), clearly luxury category property.","2026-04-20T15:40:42","Luxury finish","high","Explicitly described as 'high end standard' with premium specification (3 bedrooms, 2 bathrooms in 4-room configuration), high price/m² (123,826), and multiple desirable features in 1892 building successfully upgraded to luxury condition."
"455120147","TROSTERUD - 2-roms leilighet med nydelig utsikt | Stor innglasset balkong | Heis | Flott beliggenhet nær t-bane, butikker og marka",3999786,61,2,"Tvetenveien 233, Oslo",NA,"Leilighet",1974,"Nordvik","https://www.finn.no/realestate/homes/ad.html?finnkode=455120147","2026-04-20T15:17:17",NA,NA,"Suburban","high","Trosterud is an outer Oslo district, 2-room apartment at ~4M NOK near t-bane and Marka. Located in suburban area away from central districts.","2026-04-20T15:40:42","Average / dated","medium","1974 building described as 'nydelig' with modern amenities (heis) but lower price/m² (65,570) and no explicit renovation mention suggest functional but dated finishes typical of 1970s Oslo housing."
"389063569","Ulvenplassen - Fantastisk gårdsrom, store fellesarealer m/ bl.a. gjestehybel, kjøkken, spisestue, felles takterrasse mm.",NA,NA,NA,"Ulven - Ulvenplassen Humleblom borettslag, salgstrinn 1. Se egen adresse for visninger., Oslo",NA,NA,NA,NA,"https://www.finn.no/realestate/project/ad.html?finnkode=389063569","2026-04-20T15:17:17",NA,NA,"Investment","medium","Ulvenplassen appears to be a multi-unit residential development with shared facilities (guest rooms, common kitchen, terrace), suggesting investment/shared ownership structure typical of borettslag investment properties.","2026-04-20T15:40:42","Good standard","low","Missing critical information (year built, type, price/m², description all N/A). Title mentions shared facilities and guest accommodation suggesting well-managed common areas, but interior standard cannot be reliably assessed."
"460671974","Klassisk og pen 2-roms med stukkatur, rosetter og god takhøyde (2,8m) | Peis | Grønt utsyn mot parken",4981839,56,2,"Biermanns gate 12A, Oslo",NA,"Leilighet",1892,"Aktiv Eiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=460671974","2026-04-20T15:17:17",NA,NA,"Central urban","high","Classic 2-room apartment at 5M NOK with period features (stucco, rosettes, high ceilings), green park view, central location near Biermanns gate in Oslo inner city.","2026-04-20T15:40:42","Good standard","medium","1892 building described as 'klassisk og pen' with original period features (stukkatur, rosetter, 2.8m ceiling height) and fireplace. Price/m² (88,961) and positive condition descriptors suggest well-maintained period property in functional condition."
"460689309","Stor 3(4)-roms endeleilighet på Nordseter | Oppussingsobjekt med stort potensiale, garasje, 2 balkonger",8302913,118,3,"Nordsetergrenda 1A, Oslo",NA,"Leilighet",1980,"OBOS Eiendomsmeglere","https://www.finn.no/realestate/homes/ad.html?finnkode=460689309","2026-04-20T15:17:17",NA,NA,"Renovation","high","Explicitly labeled 'oppussingsobjekt' (renovation project) with 'great potential', 3-4 rooms at 8.3M NOK. Renovation category takes precedence despite location being suburban.","2026-04-20T15:40:42","Renovation project","high","Explicitly described as 'Oppussingsobjekt' (renovation project) with 'stort potensiale' in title, which clearly indicates the property requires significant work before comfortable habitation, despite moderate price/m² (70,364) and some attractive features."
"447526731","Eksklusiv 2-roms i nytt prestisjeprosjekt | Ekstraordinær takhøyde på 3,7 meter - salg av kontraktposisjon",NA,NA,NA,"Åsaveien 2, Oslo",NA,NA,NA,NA,"https://www.finn.no/realestate/projectsingle/ad.html?finnkode=447526731","2026-04-20T15:17:17",NA,NA,"New development","high","Explicitly described as 'nytt prestisjeprosjekt' (new prestige project) with contract position sale, indicating new development.","2026-04-20T15:40:48","Luxury finish","high","Title explicitly states 'Eksklusiv' and 'nytt prestisjeprosjekt' with extraordinary ceiling height (3.7m), indicating a premium new development with luxury finishes."
"460647600","Delikat og svært påkostet 3-roms hjørneleilighet med rosetter og stukkatur | Ingen dokumentavgift | Vinduer fra 2018",7544925,75,3,"Sannergata 38B, Oslo",NA,"Leilighet",1904,"Aktiv Eiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=460647600","2026-04-20T15:17:17",NA,NA,"Central urban","high","3-room apartment in central Oslo (Sannergata, likely St. Hanshaugen area) at mid-range price (7.5M NOK) with period charm, not luxury or waterfront.","2026-04-20T15:40:48","High standard","high","Described as 'delikat og svært påkostet' with architectural details (rosetter, stukkatur) and recent window renovation (2018), indicating significant investment in a historic property."
"460218864","Brattlikollen - Rålekker og lys 2-roms leilighet fra 2023 med solrik uteplass | IN-ordning | Vannbåren gulvvarme/Vv.inkl | Nær T-bane",4391350,47,2,"Sandstuveien 56C, Oslo",NA,"Leilighet",2023,"EIE Eiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=460218864","2026-04-20T15:17:17",NA,NA,"New development","high","Built 2023, described as 'rålekker' new apartment with modern amenities (floor heating, IN-arrangement), new build guarantee implied.","2026-04-20T15:40:48","Luxury finish","high","Built in 2023 with explicit modern amenities (vannbåren gulvvarme, solrik uteplass), premium location description ('Rålekker'), and new construction standard."
"460607510","St. Hanshaugen - Gjennomgående 3-roms endeleilighet m/lys fra 3 kanter - Frodig bakgård - VV/Fyring -  Rett ved parken",6443321,64,3,"Brandts gate 2D, Oslo",NA,"Leilighet",1936,"PrivatMegleren","https://www.finn.no/realestate/homes/ad.html?finnkode=460607510","2026-04-20T15:17:17",NA,NA,"Central urban","high","3-room apartment in St. Hanshaugen at mid-range price (6.4M NOK), central location near park, typical urban residential property.","2026-04-20T15:40:48","Good standard","medium","1936 building with no explicit renovation mentioned, but described positively ('Gjennomgående', 'lys') with essential utilities included, suggesting well-maintained but not recently updated."
"460673434","VOLLEBEKK - Rålekker 5R hjørneleilighet med balkong på 10 kvm og fransk balkong | Garasjeplass* | 5 års Nybygg-garanti | To bad",8993152,103,4,"Vollebekkveien 2B, Oslo",NA,"Leilighet",2025,"Emeraeiendomsmegling","https://www.finn.no/realestate/homes/ad.html?finnkode=460673434","2026-04-20T15:17:17",NA,NA,"New development","high","Built 2025 with explicit 5-year 'Nybygg-garanti' (new build warranty), modern construction with high standard finishes.","2026-04-20T15:40:48","Luxury finish","high","Built in 2025 with 5-year new building warranty, two bathrooms, balcony, and premium features typical of contemporary luxury new construction."
"458688665","TJUVHOLMEN - Eksklusiv leilighet ytterst på Tjuvholmen | 2 balkonger | Garasje m/el | Heis | Høy standard",28701090,130,3,"Dyna brygge 3, Oslo",NA,"Leilighet",2013,"Tinholt","https://www.finn.no/realestate/homes/ad.html?finnkode=458688665","2026-04-20T15:17:17",NA,NA,"Luxury","high","Located on Tjuvholmen (prestigious waterfront address), price 28.7M NOK well above luxury threshold, exclusive position with high amenities.","2026-04-20T15:40:48","Luxury finish","high","Explicitly described as 'Eksklusiv' on prestigious Tjuvholmen location with extremely high price/m² (220,778 NOK/m²), dual balconies, and garage, indicating premium luxury standard."
"460356238","Sinsen - Lys og romslig 2-roms toppleilighet med fantastisk utsikt. Vestvendt balkong på 5 kvm. A-konto oppvarming og varmtvann",4876827,55,2,"Sinsenveien 26, Oslo","Sinsen","Leilighet",1941,"Nordvik","https://www.finn.no/realestate/homes/ad.html?finnkode=460356238","2026-04-20T15:17:17",NA,NA,"Student / young professional","medium","2-room apartment in Sinsen, mid-range price (4.9M NOK), central location with good transport, suitable for young professionals.","2026-04-20T15:40:48","Average / dated","medium","1941 building with no renovation mentioned and standard price/m² (88,670 NOK/m²), described functionally but without evidence of modern updates."
"460271919","St.Hanshaugen v/ Pilestredet Park - Lys og attraktiv 2-roms med generøs takhøyde på 2,82m - Nydelig kjøkken fra 2022 - varmtvann og internett inkl.",4481024,36,2,"Stensberggata 21B, Oslo",NA,"Leilighet",1892,"DNB Eiendom","https://www.finn.no/realestate/homes/ad.html?finnkode=460271919","2026-04-20T15:17:17",NA,NA,"Central urban","high","2-room apartment in St. Hanshaugen near Pilestredet Park at budget-mid range (4.5M NOK), central location, small but well-appointed.","2026-04-20T15:40:48","High standard","high","Despite 1892 construction, explicitly mentions 'nydelig kjøkken fra 2022' indicating recent kitchen renovation, maintaining the property at a high modern standard."
"457542043","Majorstuen v/Frognerparken - Lys og romslig 3(4)r m/heis og vestvendt balkong - Skjermet i 5. etg m/soverom mot bakgård - Fyring og varmtvann inkl.",10926803,112,3,"Kirkeveien 48A, Oslo",NA,"Leilighet",1939,"Nordvik","https://www.finn.no/realestate/homes/ad.html?finnkode=457542043","2026-04-20T15:17:17",NA,NA,"Luxury","high","Price 10.9M NOK near luxury threshold, 3-room apartment in prestigious Majorstuen location near Frognerparken, spacious and high-standard.","2026-04-20T15:40:48","Good standard","medium","1939 building with standard amenities and no explicit renovation mentioned, but described positively ('Lys og romslig') suggesting good maintenance without recent major upgrades."
"448661016","KAMPEN, RETT VED PARKEN - Lys og gjennomført 3-roms utsiktsleilighet | Balkong | Nylig pusset opp  | Usikt i flere retninger | VV/fyring inkl.",5686510,60,3,"Sons gate 5B, Oslo",NA,"Leilighet",1934,"Nordvik","https://www.finn.no/realestate/homes/ad.html?finnkode=448661016","2026-04-20T15:17:17",NA,NA,"Central urban","high","3-room apartment in Kampen (central Oslo) at mid-range price (5.7M NOK), near park with views, typical central urban property.","2026-04-20T15:40:48","High standard","high","Explicitly states 'Nylig pusset opp' (recently renovated) with through-view design and included utilities, indicating recent comprehensive updating."
